Timestamp,EAR,MAR,HeadTilt,Status
08:14:00,0.189,0.888,5.19,Eyes Closed
08:14:00,0.207,0.935,5.67,Eyes Closed
08:14:00,0.216,0.883,5.53,Eyes Closed
08:14:00,0.217,0.881,5.53,Eyes Closed
08:14:00,0.244,0.89,4.83,Eyes Closed
08:14:00,0.217,0.867,4.83,Eyes Closed
08:14:00,0.232,0.896,4.79,Eyes Closed
08:14:00,0.258,0.92,5.19,Yawning
08:14:00,0.24,0.886,4.83,Eyes Closed
08:14:00,0.231,0.858,5.56,Eyes Closed
08:14:00,0.22,0.865,5.56,Eyes Closed
08:14:00,0.244,0.845,5.6,Eyes Closed
08:14:00,0.258,0.886,5.16,Yawning
08:14:00,0.231,0.896,5.19,Eyes Closed
08:14:00,0.262,0.85,5.93,Yawning
08:14:00,0.237,0.853,5.56,Eyes Closed
08:14:00,0.247,0.884,5.53,Eyes Closed
08:14:00,0.216,0.828,4.79,Eyes Closed
08:14:00,0.219,0.867,4.79,Eyes Closed
08:14:00,0.227,0.88,5.19,Eyes Closed
08:14:00,0.252,0.838,5.49,Yawning
08:14:00,0.239,0.862,5.6,Eyes Closed
08:14:00,0.25,0.82,4.79,Yawning
08:14:01,0.24,0.835,5.16,Eyes Closed
08:14:01,0.234,0.835,5.53,Eyes Closed
08:14:01,0.262,0.884,5.23,Yawning
08:14:01,0.258,0.842,5.23,Yawning
08:14:01,0.254,0.884,4.83,Yawning
08:14:01,0.255,0.868,5.23,Yawning
08:14:01,0.242,0.835,4.86,Eyes Closed
08:14:01,0.241,0.923,5.56,Eyes Closed
08:14:01,0.247,0.875,5.56,Eyes Closed
08:14:01,0.258,0.884,5.53,Yawning
08:14:01,0.264,0.883,6.3,Yawning
08:14:01,0.28,0.848,6.01,Yawning
08:14:01,0.252,0.853,6.26,Yawning
08:14:01,0.214,0.869,5.89,Eyes Closed
08:14:01,0.222,0.845,5.89,Eyes Closed
08:14:01,0.265,0.869,5.56,Yawning
08:14:01,0.249,0.907,5.56,Eyes Closed
08:14:01,0.263,0.88,5.19,Yawning
08:14:01,0.256,0.904,5.56,Yawning
08:14:01,0.257,0.881,5.53,Yawning
08:14:01,0.256,0.897,5.93,Yawning
08:14:01,0.253,0.863,5.86,Yawning
08:14:01,0.266,0.859,5.56,Yawning
08:14:01,0.252,0.884,5.56,Yawning
08:14:01,0.261,0.832,5.53,Yawning
08:14:01,0.245,0.873,5.56,Eyes Closed
08:14:01,0.242,0.868,5.6,Eyes Closed
08:14:01,0.252,0.873,5.93,Yawning
08:14:01,0.26,0.875,5.93,Yawning
08:14:01,0.247,0.865,5.16,Eyes Closed
08:14:02,0.258,0.865,5.16,Yawning
08:14:02,0.257,0.865,5.56,Yawning
08:14:02,0.264,0.878,5.53,Yawning
08:14:02,0.25,0.888,5.16,Yawning
08:14:02,0.247,0.857,5.19,Eyes Closed
08:14:02,0.268,0.855,4.79,Yawning
08:14:02,0.258,0.857,5.56,Yawning
08:14:02,0.243,0.869,5.53,Eyes Closed
08:14:02,0.275,0.86,5.19,Yawning
08:14:02,0.275,0.875,5.16,Yawning
08:14:02,0.267,0.875,5.16,Yawning
08:14:02,0.288,0.857,5.16,Yawning
08:14:02,0.279,0.835,5.53,Yawning
08:14:02,0.268,0.884,5.16,Yawning
08:14:02,0.267,0.902,5.89,Yawning
08:14:02,0.29,0.857,5.56,Yawning
08:14:02,0.176,0.885,5.89,Eyes Closed
08:14:02,0.133,0.872,5.49,Eyes Closed
08:14:02,0.179,0.884,5.53,Eyes Closed
08:14:02,0.186,0.835,5.53,Eyes Closed
08:14:02,0.197,0.859,5.53,Eyes Closed
08:14:02,0.212,0.872,5.16,Eyes Closed
08:14:02,0.197,0.884,5.53,Eyes Closed
08:14:02,0.17,0.884,5.13,Eyes Closed
08:14:02,0.191,0.9,5.13,Eyes Closed
08:14:02,0.204,0.9,5.13,Eyes Closed
08:14:02,0.225,0.884,5.89,Eyes Closed
08:14:02,0.199,0.925,5.49,Eyes Closed
08:14:02,0.216,0.863,5.16,Eyes Closed
08:14:02,0.221,0.865,5.49,Eyes Closed
08:14:03,0.229,0.9,5.16,Eyes Closed
08:14:03,0.22,0.865,5.86,Eyes Closed
08:14:03,0.22,0.847,5.89,Eyes Closed
08:14:03,0.233,0.847,5.49,Eyes Closed
08:14:03,0.249,0.867,5.13,Eyes Closed
08:14:03,0.225,0.887,5.13,Eyes Closed
08:14:03,0.263,0.868,5.53,Yawning
08:14:03,0.241,0.926,5.1,Eyes Closed
08:14:03,0.248,0.839,5.86,Eyes Closed
08:14:03,0.231,0.81,5.13,Eyes Closed
08:14:03,0.27,0.842,5.49,Yawning
08:14:03,0.251,0.878,5.19,Yawning
08:14:03,0.263,0.9,5.16,Yawning
08:14:03,0.249,0.871,4.76,Eyes Closed
08:14:03,0.232,0.84,4.76,Eyes Closed
08:14:03,0.219,0.897,4.79,Eyes Closed
08:14:03,0.208,0.863,4.76,Eyes Closed
08:14:03,0.223,0.832,5.13,Eyes Closed
08:14:03,0.242,0.865,5.49,Eyes Closed
08:14:03,0.264,0.83,4.43,Yawning
08:14:03,0.251,0.879,4.79,Yawning
08:14:03,0.247,0.87,4.4,Eyes Closed
08:14:03,0.257,0.852,5.16,Yawning
08:14:03,0.271,0.85,4.76,Yawning
08:14:03,0.255,0.897,5.13,Yawning
08:14:03,0.256,0.864,5.13,Yawning
08:14:03,0.252,0.863,4.79,Yawning
08:14:03,0.254,0.832,5.13,Yawning
08:14:03,0.224,0.878,4.76,Eyes Closed
08:14:03,0.233,0.897,5.16,Eyes Closed
08:14:03,0.22,0.855,4.79,Eyes Closed
08:14:04,0.248,0.884,4.83,Eyes Closed
08:14:04,0.259,0.871,4.76,Yawning
08:14:04,0.244,0.881,5.13,Eyes Closed
08:14:04,0.243,0.86,4.79,Eyes Closed
08:14:04,0.248,0.855,4.76,Eyes Closed
08:14:04,0.252,0.871,4.79,Yawning
08:14:04,0.247,0.848,4.76,Eyes Closed
08:14:04,0.251,0.832,5.13,Yawning
08:14:04,0.258,0.86,4.79,Yawning
08:14:04,0.25,0.865,5.49,Yawning
08:14:04,0.271,0.87,5.13,Yawning
08:14:04,0.244,0.855,5.46,Eyes Closed
08:14:04,0.248,0.863,5.16,Eyes Closed
08:14:04,0.232,0.863,5.53,Eyes Closed
08:14:04,0.248,0.832,4.79,Eyes Closed
08:14:04,0.235,0.885,4.79,Eyes Closed
08:14:04,0.233,0.82,5.16,Eyes Closed
08:14:04,0.258,0.845,5.19,Yawning
08:14:04,0.246,0.9,5.13,Eyes Closed
08:14:04,0.266,0.863,5.53,Yawning
08:14:04,0.251,0.835,5.53,Yawning
08:14:04,0.256,0.868,4.79,Yawning
08:14:04,0.24,0.86,4.43,Eyes Closed
08:14:04,0.25,0.879,5.19,Yawning
08:14:04,0.255,0.91,4.79,Yawning
08:14:04,0.267,0.904,5.13,Yawning
08:14:04,0.242,0.888,4.76,Eyes Closed
08:14:04,0.266,0.864,5.53,Yawning
08:14:04,0.267,0.865,4.79,Yawning
08:14:04,0.237,0.863,4.79,Eyes Closed
08:14:05,0.233,0.817,4.79,Eyes Closed
08:14:05,0.239,0.865,5.13,Eyes Closed
08:14:05,0.24,0.868,5.16,Eyes Closed
08:14:05,0.242,0.888,5.16,Eyes Closed
08:14:05,0.259,0.839,4.76,Yawning
08:14:05,0.256,0.85,5.16,Yawning
08:14:05,0.259,0.839,4.79,Yawning
08:14:05,0.238,0.884,4.83,Eyes Closed
08:14:05,0.238,0.871,4.79,Eyes Closed
08:14:05,0.237,0.823,5.19,Eyes Closed
08:14:05,0.247,0.895,4.79,Eyes Closed
08:14:05,0.251,0.852,5.16,Yawning
08:14:05,0.239,0.904,5.16,Eyes Closed
08:14:05,0.244,0.874,5.16,Eyes Closed
08:14:05,0.249,0.909,5.53,Eyes Closed
08:14:05,0.255,0.887,5.13,Yawning
08:14:05,0.222,0.878,4.79,Eyes Closed
08:14:05,0.239,0.884,4.76,Eyes Closed
08:14:05,0.255,0.888,5.13,Yawning
08:14:05,0.274,0.863,5.16,Yawning
08:14:05,0.255,0.832,5.13,Yawning
08:14:05,0.245,0.881,5.16,Eyes Closed
08:14:05,0.235,0.84,5.13,Eyes Closed
08:14:05,0.26,0.858,5.49,Yawning
08:14:05,0.252,0.859,5.56,Yawning
08:14:05,0.244,0.897,4.43,Eyes Closed
08:14:05,0.245,0.817,5.16,Eyes Closed
08:14:05,0.255,0.839,5.16,Yawning
08:14:06,0.251,0.884,5.16,Yawning
08:14:06,0.264,0.826,5.16,Yawning
08:14:06,0.25,0.919,5.13,Yawning
08:14:06,0.262,0.839,5.16,Yawning
08:14:06,0.264,0.819,5.13,Yawning
08:14:06,0.27,0.897,5.49,Yawning
08:14:06,0.245,0.884,5.19,Eyes Closed
08:14:06,0.267,0.875,5.53,Yawning
08:14:06,0.26,0.884,5.16,Yawning
08:14:06,0.25,0.88,4.46,Yawning
08:14:06,0.24,0.875,5.13,Eyes Closed
08:14:06,0.266,0.871,4.83,Yawning
08:14:06,0.261,0.838,5.16,Yawning
08:14:06,0.252,0.884,4.76,Yawning
08:14:06,0.255,0.897,5.16,Yawning
08:14:06,0.228,0.887,4.79,Eyes Closed
08:14:06,0.215,0.858,5.16,Eyes Closed
08:14:06,0.263,0.881,4.79,Yawning
08:14:06,0.25,0.845,5.19,Eyes Closed
08:14:06,0.269,0.832,4.79,Yawning
08:14:06,0.254,0.86,4.79,Yawning
08:14:06,0.267,0.842,5.53,Yawning
08:14:06,0.267,0.858,4.79,Yawning
08:14:06,0.266,0.82,4.79,Yawning
08:14:06,0.254,0.903,5.13,Yawning
08:14:06,0.239,0.88,5.13,Eyes Closed
08:14:06,0.241,0.865,5.13,Eyes Closed
08:14:06,0.252,0.881,4.79,Yawning
08:14:06,0.264,0.842,5.53,Yawning
08:14:06,0.242,0.873,5.16,Eyes Closed
08:14:06,0.254,0.839,4.79,Yawning
08:14:07,0.227,0.852,5.13,Eyes Closed
08:14:07,0.247,0.871,5.13,Eyes Closed
08:14:07,0.254,0.936,5.13,Yawning
08:14:07,0.238,0.884,5.13,Eyes Closed
08:14:07,0.237,0.85,4.79,Eyes Closed
08:14:07,0.233,0.894,5.16,Eyes Closed
08:14:07,0.217,0.905,5.16,Eyes Closed
08:14:07,0.234,0.84,4.79,Eyes Closed
08:14:07,0.239,0.902,5.16,Eyes Closed
08:14:07,0.251,0.871,4.79,Yawning
08:14:07,0.239,0.852,5.19,Eyes Closed
08:14:07,0.254,0.862,4.79,Yawning
08:14:07,0.259,0.89,5.53,Yawning
08:14:07,0.244,0.89,5.13,Eyes Closed
08:14:07,0.267,0.857,5.13,Yawning
08:14:07,0.27,0.906,5.1,Yawning
08:14:07,0.263,0.852,5.1,Yawning
08:14:07,0.25,0.897,4.4,Eyes Closed
08:14:07,0.252,0.884,5.13,Yawning
08:14:07,0.246,0.821,5.49,Eyes Closed
08:14:07,0.258,0.813,4.4,Yawning
08:14:07,0.275,0.794,4.4,Yawning
08:14:07,0.259,0.868,4.43,Yawning
08:14:07,0.26,0.86,4.76,Yawning
08:14:07,0.263,0.868,4.4,Yawning
08:14:07,0.247,0.858,4.76,Eyes Closed
08:14:07,0.264,0.852,5.13,Yawning
08:14:07,0.266,0.85,4.37,Yawning
08:14:07,0.262,0.83,4.34,Yawning
08:14:07,0.29,0.85,4.76,Yawning
08:14:08,0.286,0.852,4.4,Yawning
08:14:08,0.285,0.876,4.37,Yawning
08:14:08,0.27,0.863,4.79,Yawning
08:14:08,0.27,0.861,3.64,Yawning
08:14:08,0.277,0.832,4.76,Yawning
08:14:08,0.261,0.85,4.4,Yawning
08:14:08,0.264,0.879,4.03,Yawning
08:14:08,0.258,0.879,4.01,Yawning
08:14:08,0.262,0.876,4.73,Yawning
08:14:08,0.263,0.87,4.03,Yawning
08:14:08,0.262,0.863,4.03,Yawning
08:14:08,0.259,0.87,3.67,Yawning
08:14:08,0.251,0.87,4.03,Yawning
08:14:08,0.254,0.863,4.03,Yawning
08:14:08,0.251,0.855,4.09,Yawning
08:14:08,0.27,0.822,4.03,Yawning
08:14:08,0.262,0.873,4.01,Yawning
08:14:08,0.239,0.882,3.62,Eyes Closed
08:14:08,0.258,0.852,4.01,Yawning
08:14:08,0.254,0.892,4.76,Yawning
08:14:08,0.22,0.892,4.34,Eyes Closed
08:14:08,0.182,0.863,4.03,Eyes Closed
08:14:08,0.193,0.876,4.03,Eyes Closed
08:14:08,0.193,0.879,3.67,Eyes Closed
08:14:08,0.196,0.879,3.67,Eyes Closed
08:14:08,0.201,0.82,4.03,Eyes Closed
08:14:08,0.177,0.855,4.01,Eyes Closed
08:14:08,0.19,0.905,4.4,Eyes Closed
08:14:08,0.19,0.92,4.01,Eyes Closed
08:14:08,0.204,0.893,4.01,Eyes Closed
08:14:09,0.223,0.868,4.06,Eyes Closed
08:14:09,0.197,0.876,4.01,Eyes Closed
08:14:09,0.183,0.865,3.32,Eyes Closed
08:14:09,0.217,0.832,3.67,Eyes Closed
08:14:09,0.209,0.845,3.67,Eyes Closed
08:14:09,0.208,0.881,3.64,Eyes Closed
08:14:09,0.201,0.884,3.67,Eyes Closed
08:14:09,0.209,0.879,3.32,Eyes Closed
08:14:09,0.201,0.958,3.64,Eyes Closed
08:14:09,0.198,0.892,3.69,Eyes Closed
08:14:09,0.228,0.883,3.67,Eyes Closed
08:14:09,0.247,0.892,3.3,Eyes Closed
08:14:09,0.271,0.857,4.06,Yawning
08:14:09,0.248,0.872,3.28,Eyes Closed
08:14:09,0.247,0.857,3.64,Eyes Closed
08:14:09,0.251,0.879,3.69,Yawning
08:14:09,0.277,0.829,3.98,Yawning
08:14:09,0.245,0.818,3.64,Eyes Closed
08:14:09,0.262,0.86,2.9,Yawning
08:14:09,0.262,0.878,3.64,Yawning
08:14:09,0.247,0.879,3.69,Eyes Closed
08:14:09,0.28,0.874,3.67,Yawning
08:14:09,0.263,0.845,3.98,Yawning
08:14:09,0.251,0.899,3.22,Yawning
08:14:09,0.274,0.866,3.6,Yawning
08:14:09,0.26,0.866,3.98,Yawning
08:14:09,0.287,0.863,3.6,Yawning
08:14:09,0.28,0.828,3.6,Yawning
08:14:09,0.275,0.886,3.22,Yawning
08:14:09,0.292,0.873,3.55,Yawning
08:14:09,0.312,0.828,2.86,Yawning
08:14:10,0.308,0.841,4.32,Yawning
08:14:10,0.304,0.863,3.91,Yawning
08:14:10,0.3,0.871,3.22,Yawning
08:14:10,0.298,0.893,3.2,Yawning
08:14:10,0.291,0.867,3.2,Yawning
08:14:10,0.291,0.88,3.2,Yawning
08:14:10,0.305,0.868,2.84,Yawning
08:14:10,0.302,0.898,3.22,Yawning
08:14:10,0.295,0.872,3.58,Yawning
08:14:10,0.294,0.872,3.58,Yawning
08:14:10,0.295,0.896,3.58,Yawning
08:14:10,0.31,0.868,3.2,Yawning
08:14:10,0.293,0.89,3.58,Yawning
08:14:10,0.306,0.863,3.58,Yawning
08:14:10,0.311,0.868,3.55,Yawning
08:14:10,0.296,0.871,3.93,Yawning
08:14:10,0.309,0.873,3.55,Yawning
08:14:10,0.317,0.856,3.96,Yawning
08:14:10,0.298,0.858,4.29,Yawning
08:14:10,0.295,0.848,3.58,Yawning
08:14:10,0.297,0.878,3.55,Yawning
08:14:10,0.291,0.849,3.2,Yawning
08:14:10,0.316,0.868,3.22,Yawning
08:14:10,0.272,0.909,3.22,Yawning
08:14:10,0.3,0.865,3.22,Yawning
08:14:10,0.309,0.885,3.22,Yawning
08:14:10,0.288,0.85,3.6,Yawning
08:14:10,0.278,0.85,3.6,Yawning
08:14:10,0.188,0.906,3.22,Eyes Closed
08:14:11,0.16,0.876,3.98,Eyes Closed
08:14:11,0.168,0.852,3.96,Eyes Closed
08:14:11,0.197,0.871,3.24,Eyes Closed
08:14:11,0.264,0.874,3.62,Yawning
08:14:11,0.253,0.914,3.26,Yawning
08:14:11,0.25,0.873,3.62,Yawning
08:14:11,0.264,0.854,3.26,Yawning
08:14:11,0.273,0.884,3.62,Yawning
08:14:11,0.261,0.911,3.62,Yawning
08:14:11,0.271,0.863,3.64,Yawning
08:14:11,0.288,0.914,4.34,Yawning
08:14:11,0.271,0.845,3.98,Yawning
08:14:11,0.279,0.838,3.28,Yawning
08:14:11,0.285,0.884,3.98,Yawning
08:14:11,0.269,0.825,3.24,Yawning
08:14:11,0.26,0.861,3.24,Yawning
08:14:11,0.264,0.871,3.64,Yawning
08:14:11,0.268,0.839,3.6,Yawning
08:14:11,0.283,0.858,3.98,Yawning
08:14:11,0.274,0.838,3.98,Yawning
08:14:11,0.29,0.839,4.01,Yawning
08:14:11,0.28,0.831,3.62,Yawning
08:14:11,0.275,0.871,4.01,Yawning
08:14:11,0.273,0.81,3.62,Yawning
08:14:11,0.29,0.833,3.62,Yawning
08:14:11,0.281,0.872,3.24,Yawning
08:14:11,0.258,0.855,3.62,Yawning
08:14:11,0.26,0.853,3.67,Yawning
08:14:11,0.278,0.874,3.64,Yawning
08:14:11,0.277,0.854,3.64,Yawning
08:14:11,0.252,0.853,3.98,Yawning
08:14:12,0.266,0.828,4.01,Yawning
08:14:12,0.279,0.879,3.62,Yawning
08:14:12,0.271,0.853,3.62,Yawning
08:14:12,0.278,0.841,4.34,Yawning
08:14:12,0.273,0.855,3.98,Yawning
08:14:12,0.281,0.827,3.98,Yawning
08:14:12,0.282,0.841,3.98,Yawning
08:14:12,0.279,0.843,4.01,Yawning
08:14:12,0.262,0.83,3.26,Yawning
08:14:12,0.283,0.878,3.26,Yawning
08:14:12,0.274,0.873,3.26,Yawning
08:14:12,0.286,0.843,3.98,Yawning
08:14:12,0.279,0.874,3.67,Yawning
08:14:12,0.27,0.852,3.62,Yawning
08:14:12,0.273,0.854,3.62,Yawning
08:14:12,0.291,0.855,3.64,Yawning
08:14:12,0.286,0.886,4.01,Yawning
08:14:12,0.278,0.874,3.62,Yawning
08:14:12,0.263,0.865,3.64,Yawning
08:14:12,0.278,0.873,3.64,Yawning
08:14:12,0.291,0.874,3.64,Yawning
08:14:12,0.254,0.914,3.26,Yawning
08:14:12,0.153,0.877,3.98,Eyes Closed
08:14:12,0.141,0.918,4.01,Eyes Closed
08:14:12,0.177,0.906,3.28,Eyes Closed
08:14:12,0.213,0.892,2.92,Eyes Closed
08:14:12,0.235,0.879,3.62,Eyes Closed
08:14:12,0.269,0.859,3.28,Yawning
08:14:12,0.254,0.873,3.67,Yawning
08:14:13,0.25,0.857,4.03,Eyes Closed
08:14:13,0.267,0.878,3.62,Yawning
08:14:13,0.284,0.86,3.62,Yawning
08:14:13,0.263,0.872,3.64,Yawning
08:14:13,0.275,0.876,3.62,Yawning
08:14:13,0.273,0.866,3.98,Yawning
08:14:13,0.271,0.889,4.37,Yawning
08:14:13,0.262,0.891,3.98,Yawning
08:14:13,0.29,0.869,4.03,Yawning
08:14:13,0.281,0.856,3.98,Yawning
08:14:13,0.267,0.857,4.4,Yawning
08:14:13,0.285,0.868,4.01,Yawning
08:14:13,0.271,0.855,4.34,Yawning
08:14:13,0.271,0.855,3.98,Yawning
08:14:13,0.21,0.863,4.01,Eyes Closed
08:14:13,0.138,0.852,4.37,Eyes Closed
08:14:13,0.094,0.9,4.37,Eyes Closed
08:14:13,0.184,0.881,4.01,Eyes Closed
08:14:13,0.207,0.931,3.96,Eyes Closed
08:14:13,0.236,0.868,4.4,Eyes Closed
08:14:13,0.244,0.887,4.34,Eyes Closed
08:14:13,0.237,0.855,4.73,Eyes Closed
08:14:13,0.238,0.874,3.64,Eyes Closed
08:14:13,0.139,0.843,4.76,Eyes Closed
08:14:13,0.121,0.855,4.03,Eyes Closed
08:14:13,0.142,0.857,4.01,Eyes Closed
08:14:13,0.209,0.881,3.67,Eyes Closed
08:14:13,0.246,0.887,4.03,Eyes Closed
08:14:13,0.268,0.916,4.37,Yawning
08:14:13,0.267,0.855,4.37,Yawning
08:14:14,0.268,0.853,4.37,Yawning
08:14:14,0.261,0.855,4.37,Yawning
08:14:14,0.267,0.879,4.01,Yawning
08:14:14,0.265,0.855,3.98,Yawning
08:14:14,0.279,0.855,4.01,Yawning
08:14:14,0.266,0.874,4.34,Yawning
08:14:14,0.261,0.861,3.62,Yawning
08:14:14,0.282,0.879,3.28,Yawning
08:14:14,0.263,0.834,3.62,Yawning
08:14:14,0.281,0.876,3.64,Yawning
08:14:14,0.273,0.863,4.01,Yawning
08:14:14,0.289,0.861,4.01,Yawning
08:14:14,0.273,0.9,3.62,Yawning
08:14:14,0.216,0.803,4.73,Eyes Closed
08:14:14,0.107,0.855,4.01,Eyes Closed
08:14:14,0.108,0.857,4.03,Eyes Closed
08:14:14,0.12,0.866,3.64,Eyes Closed
08:14:14,0.099,0.881,4.73,Eyes Closed
08:14:14,0.106,0.866,4.37,Eyes Closed
08:14:14,0.108,0.866,3.64,Eyes Closed
08:14:14,0.143,0.855,4.01,Eyes Closed
08:14:14,0.222,0.916,3.64,Eyes Closed
08:14:14,0.237,0.887,3.98,Eyes Closed
08:14:14,0.246,0.873,4.37,Eyes Closed
08:14:14,0.25,0.873,3.64,Yawning
08:14:14,0.253,0.873,3.62,Yawning
08:14:14,0.26,0.873,3.26,Yawning
08:14:14,0.27,0.853,3.98,Yawning
08:14:14,0.254,0.855,3.98,Yawning
08:14:14,0.264,0.848,4.01,Yawning
08:14:15,0.272,0.852,4.01,Yawning
